word,definition,frequency
avow,admit. Declare openly,2
baleful,harmful ominous causing evil,4
balk,obstacle purposely to get on the way of,2
baneful,causing harm or ruin pernicious destructive,2
barrage,artificial obstacle built across a river,2
barren,not good enough unable to have young ones without value,5
bask,in enjoy warmth and light,2
beatify,to bless make happy or ascribe a virtue to,2
bedizen,to adorn especially in a cheap showy manner,2
belabor,beat hard,2
bellicose,belligerent pugnacious warlike,5
belligerent,(person nation) waging war,11
benefactor,person who has given help,2
benevolence,wish or activity in doing good,4
benign,kind and gentle mild (climate),9
bequest,arrangement to give smth at death,2
berate,scold sharply,2
bereft,rob or dispossess of smth (material),2
bewilder,puzzle confuse,2
bigot,stubborn narrow-minded person,2
bilge,bulge the protuberance of a cask,2
blandishment,flattery coaxing,2
blandness,polite manner comforting uninteresting,2
blatant,noisy and rough,3
blithe,cheerful casual carefree,4
bogus,sham counterfeit not genuine,2
boisterous,loud noisy rough lacking restraint,2
bolster,give greatly needed support,6
boorish,crude offensive rude,2
brash,hasty rush cheeky saucy,3
brass,yellow metal (mixing copper and zinc),4
brazen,made of brass,6
breach,opening broken place breaking,2
brittle,easily broken,2
broach,bring up announce begin to talk about,2
brook,to tolerate endure,2
buoyant,able to float light-hearted,5
burgeon,grow forth send out buds,5
burnish,to polish rub to a shine,2
cabal,a scheme or plot a group of plotters,3
cadge,to beg to get by begging,2
cajole,use flattery or deceit to persuade,2
calipers,metal supports attached to the legs measuring instrument,2
calumny,slander aspersion,2
candid,frank straight-forward,11
cant,insincere talk/jargon,16
cantankerous,bad-tempered/quarrelsome,2
canvass,discuss thoroughly sort of touting,2
castigate,to chastise correct by punishing,2
castigation,severe punishment,3
catalyst,substance that causes speeding up,4
caustic,biting sarcastic,6
censure,expression of blame or disapproval a rebuke,6
centurion,leader of a unit of 100 soldiers,4
chary,cautious wary,2
chastened,corrected punished,2
chastisement,punishment,2
chauvinist,a blindly devoted patriot,2
chicanery,legal trickery/false argument,9
chisel,steel tool for shaping materials,4
churl,bad-tempered person,2
clamor,shout complain with a lot of noise,2
clientele,customers,2
clinch,come to grips/settle conclusively,2
cling,to resist separation,2
clot,half-solid lump formed from liquid,2
cloture,closing device (in Parliament) to end a debate by voting,2
coagulation,change to a thick and solid state,2
coalescing,coming together and uniting into one substance,2
coax,get smb to do smth by kindness,4
coda,passage that completes a piece of music,4
coddle,treat with care and tenderness,2
coerce,compel to force to make obedient,2
coeval,of the same period coexisting,5
cogent,strong convincing,11
cogitate,think deeply mediate,4
cognizant,being fully aware of,6
colander,bowl-shaped vessel with many holes used to drain off water,2
collusion,secret agreement for a deceitful purpose,2
combustion,process of burning,3
commemorate,keep the memory of,2
commodious,having plenty of space for what is needed,2
commuter,person who travels regularly,3
complaisance,tending to comply obliging willingness to please,2
compunction,feeling of regret for one's action,2
conceal,hide keep secret,5
conceit,over-high opinion of too much pride,2
conciliatory,reconciling soothing comforting mollifying,4
concord,agreement or harmony,2
concur,agree in opinion happen together,2
condense,increase in density strength make laconic,2
condone,forgive,3
congeal,make or become stiff and solid,2
conjoin,to join together,2
connoisseur,a person with good judgement (e.g.. in art),3
connotation,suggestion in addition to,9
consequential,pompous self important,2
console,give comfort or sympathy to,2
conspicuous,easily seen remarkable,2
consternation,surprise and fear dismay,2
constrain,compel,3
constrict,make tight or smaller,2
consume,get to the end of,3
consummate,perfect/make perfect/complete,5
contemn,to scorn or despise,2
contentious,argumentative pugnacious combative quarrelsome,4
contiguous,touching neighboring near,2
contrite,filled with deep sorrow for wrongdoing,4
contumacious,insubordinate rebellious,4
conundrum,a riddle dilemma enigma,3
conviction,convincing firm belief,5
convoke,call together summon,2
convoluted,complicated coiled twisted,5
cordial,warm and sincere,2
cordon,line (of police acting as a guard),2
cornucopia,abundant supply,2
corporeal,physical of or for the body,5
correlate,have a mutual relation,2
corroboration,additional strengthening evidence,4
countenance,to favor or approve of,5
counterfeit,forgery,8
countervail,counterbalance,2
covert,disguised,2
covetous,eagerly desirous,2
cower,crouch shrink back,2
coy,shy/modest (esp of a girl),2
crass,very great (es. stupidity),2
cravat,piece of linen worn as a necktie,2
craven,cowardly,6
crease,line made by crushing white line on the ground in cricket,5
credulity,too great a readiness to believe things,3
credulous,ready to believe things,2
crush,press lose shape subdue overwhelm,2
cryptic,secret with a hidden meaning,4
cumbersome,burdensome heavy and awkward to carry,4
curmudgeon,bad-tempered person,2
curriculum,course of study,3
cursory,quick hurried,6
curtail,make shorter then was planned,4
dainty,pretty/delicate(food)/difficult to please,2
daunt,intimidate make fearful,2
dawdler,person who is slow waste of time,2
dearth,shortage,10
debacle,a breakup overthrow sudden disaster,2
decorum,propriety properness,4
decree,order given by authority,2
decry,disapprove of,4
defer,postpone give way (to show respect),2
deferential,showing respect,2
defiance,open disobedience or resistance,2
delineate,to portray depict sketch out,2
deluge,great flood heavy rush of water,2
demagogue,person appealing not to reasons,2
demur,to hesitate raise objections,2
denigrate,blacken belittle sully defame,2
denouement,an outcome or solution the unraveling of a plot,2
deplete,use until none remains,2
deposition,dethronement depositing,2
deprave,make morally bad corrupt,2
deprecate,protest against express disapproval of,4
dereliction,deserting and leaving to fall into ruins,2
derision,ridicule mockery deriding,2
derivative,unoriginal obtained from another source,8
derogatory,insulting tending to damage,2
descry,catch sight of see smth in the distance,2
desiccant,substance used to absorb moisture,2
desuetude,cessation of use disuse,2
desultory,aimless haphazard digressing at random,4
deter,discourage hinder,5
detraction,slandering verbal attack aspersion,2
detumescence,diminishing or lessening of swelling,2
deviance,being different in moral standards (from normal),2
dexterity,skill (esp. in handling),2
diaphanous,transparent gauzy,6
diatribe,bitter and violent attack in words,3
diffidence,shyness,2
dilate,speak comprehensively become wider large,2
disallow,refuse to allow or accept as a correct,4
discern,see with an effort but clearly,6
discomfit,confuse embarrass,2
disconcert,upset the self-possession of,2
discountenance,refuse to approve of,2
discourse,speech lecture,4
discredit,refuse to believe,2
discreet,careful/prudent,3
discrete,individually distinct,6
disdain,look on with contempt,6
disencumber,free from encumbrance,2
disheveled,untidy,2
disingenuous,sophisticated artful trying to deceive cunning,3
disinter,dig up from the earth,2
dislodge,move force from the place occupied,2
dismal,sad gloomy miserable,2
disparate,essentially different,7
disproof,proof to the contrary,2
dissemble,speak or behave so as to hide smth (in mind),3
disseminate,distribute (esp. ideas),4
dissent,have a different opinion refuse to assent,4
dissolution,disintegration looseness in morals,5
distraught,distracted violently upset in mind,4
divergence,getting farther apart from a point,2
divestiture,taking off getting rid of giving up,2
divulge,make known smth secret,4
doggerel,trivial poorly constructed verse,2
dogmatic,positive certain arbitrary without room for discussion,7
dolt,stupid fellow,2
dormant,in a state of inactivity but awaiting development,6
dote,show much fondness center one's attention,2
drawl,slow way of speaking,2
droll,jesting,2
drone,male bee person who isn't self-employed,2
drowsiness,feeling sleepy half asleep,3
dubious,feeling doubt,10
dud,no use person smth that fails,6
dulcet,melodious harmonious,4
dupe,cheat make a fool of,2
duplicity,deliberate deception,5
duress,threats to compel smb,2
dwarf,person or smb much below the usual size,2
dynamo,a generator something that produces electric current,2
earthenware,dishes made of baked clay,4
ebullience,exuberance outburst of feeling,2
ebullient,overflowing with enthusiasm showing excitement,5
ecumenical,representing the whole Christian world,2
edacious,voracious devouring,2
eddy,circular or spiral movement (e.g.. of wind),2
edible,fit to be eaten/not poisonous,3
effete,infertile worn out weak,4
efficacy,production of a desired result,6
effluvia,outflow in a stream of particles a noxious odor or vapor,2
effrontery,boldness impudence arrogance,2
egress,way out exit,2
elaborate,worked out with much care in great detail,6
elegy,a lament a melancholy composition,4
elicit,draw out,4
eloquence,fluent speaking skillful use of language,4
emaciate,make thin and weak,2
embellish,make beautiful,3
embezzle,use in a wrong way for one's own benefit,2
emote,stir up excite,2
empirical,relying on experiment,2
encapsulate,enclose in capsule,2
encomium,warm or glowing praise eulogy panegyric,7
encumbrance,burden things that get on the way of,4
endearing,making dear or liked,2
endemic,epidemic,4
endorse,write one's name on the back of,2
enduring,lasting,5
enervate,weaken deprive of strength attenuate,7
engender,cause produce give rise to,5
engrave,impress deeply,4
engrossing,taken up all the time or attention writing in large or formal,2
engulf,swallow up,2
enigma,smth that is puzzling,6
enmity,hatred being an enemy,2
ensign,flag/badge,2
entangle,put into difficulties,4
enthral,please greatly/enslave (fig),2
entice,tempt or persuade,4
entreat,ask earnestly,2
enunciate,pronounce (words)/express a theory,2
enzyme,catalyst,3
epicurean,devoted to pleasure (sensuous enjoyment),3
epistle,letter,2
epithet,adjective,3
epitome,brief summary representative example a typical model,7
equable,steady regular,2
equanimity,calmness of temperament,3
equilibrium,state of being balanced,7
equipoise,equal distribution of weight equilibrium,2
equivocal,having a double or doubtful meaning suspicious,7
equivocate,try to deceive by equivocal language,6
eradicate,get rid of pull up by the roots,6
erratic,irregular in behaviour or opinion,5
erudite,learned scholarly,9
eschew,avoid,5
esoteric,abstruse intended only for a small circle of,6
espouse,marry give one's support to,2
eulogy,formal praise panegyric,6
euphoria,elation state of pleasant excitement,2
euthanasia,easy and painless death,2
evasive,tending to evade,2
evince,to show clearly to indicate,2
evoke,call up bring out,2
excoriation,severe criticism,2
exculpate,to clear from a charge of guilt,3
exhaustive,complete thorough,4
exigency,emergency an urgent situation,2
exoneration,set smb clear free (e.g.. from blame),2
exorbitant,much too high or great,4
expatiate,to roam wander freely,5
expedient,likely to be useful for a purpose,5
expiation,ending expiring,2
exploit,brilliant achievement develop use selfishly,5
expostulate,argue earnestly to dissuade correct or protest,2
expurgate,to remove obscenity purify censor,2
exscind,to cut out cut away,4
extant,still in existence,3
extempore,without previous thought or preparation,2
extenuate,reduce the strength of lessen seriousness partially excuse,2
extinct,no longer active,5
extinguish,end the existence of/wipe or put out,2
extirpate,to destroy exterminate cut out exscind,4
extol,praise highly,4
extort,obtain by threats violence,2
extralegal,outside the law,2
extricable,that can be freed,2
extrovert,cheerful person,4
exuberance,state of growing vigorously being full of life,4
facetious,humorous funny jocular,3
facile,easily done,9
fallacious,based on error,8
falter,waver/move in an uncertain manner,2
fatuous,without sense foolish self-satisfaction,2
fawn,young deer try to win smb's favor,2
feckless,lacking purpose or vitality ineffective careless,7
fecund,fertile,2
feint,pretend,2
felicitous,apt suitably expressed well chosen apropos,3
felon,person guilty of murder,2
ferment,substance become excited,3
ferocity,savage cruelty,4
ferret,discover by searching search,2
fervid,showing earnest feeling,2
fervor,warmth of feelings earnestness,3
fetid,stinking,2
fetter,to shackle put in chains,2
feud,bitter quarrel over a long period of time,2
fidelity,loyalty accuracy,3
fidget,move restlessly make nervous,2
figurehead,carved image on the prow of a ship,2
finesse,delicate way of dealing with a situation,2
finical,too fussy about food clothing etc.,4
finicky,finical,4
fission,splitting or division (esp. of cells),2
fixate,stare at,2
flak,criticism/anti-aircraft guns,2
flamboyant,brightly colored florid,2
flaunting,show off complacently,2
flax,pale yellow (hair) a plant,2
fledged,able to fly trained experienced,2
fleet,number of ships quick-moving,2
flinch,draw move back wince,2
flop,fail/move/fall clumsily,2
florid,very much ornamented naturally red (e.g.. of face),4
flout,reject mock to go against (as in going against tradition),2
fluke,lucky stroke,2
fluster,make nervous or confused,2
foible,defect of character (a person is wrongly proud),2
foil,prevent from carrying out contrast,9
foment,put smth warm (to lessen the pain),3
foolproof,incapable of failure or error,2
foppish,like a man who pays too much attention to his clothes,2
forage,food for horses and cattle,2
forbear,refrain from be patient ancestor,2
forbearance,patience willingness to wait,2
ford,shallow place in a river (to cross),4
forestall,prevent by taking action in advance preempt,4
forfeit,suffer the loss of smth,2
forge,workshop for the shaping of metal to shape metal lead,2
forgery,counterfeit,4
forswear,renounce disallow repudiate,2
foster,nurture care for,2
fracas,noisy quarrel,2
fragile,easily injured broken or destroyed,3
fragrant,sweet-smelling,2
frantic,wildly excited with joy pain anxiety,4
frenetic,frantic frenzied,2
fret,worry irritation wear away,2
fringe,edge ornamental border part of hair over the forehead,2
froward,intractable not willing to yield or comply stubborn,2
frugal,careful economical,6
fulmination,bitter protest,2
fulsome,disgusting offensive due to excessiveness,3
gainsay,to deny to oppose,2
garble,make unfair selection from facts,2
garment,article of clothing,6
garner,to gather and save to store up,9
garrulity,talkativeness,2
garrulous,too talkative,11
gaucherie,socially awkward tactless behavior,2
germane,relevant pertinent to,7
gist,the point general sense,3
glean,gather facts in small quantities,2
glib,ready and smooth but not sincere,5
glimmer,weak/unsteady light,2
gloat,over look at with selfish delight,2
glut,supply to much fill to excess,8
gnaw,waste away bite steadily,2
goad,smth urging a person to action,2
gorge,eat greedily/narrow opening with a stream,2
gossamer,soft light delicate material,5
gouge,tool for cutting grooves in wood,2
grandiloquent,using pompous words,2
grave,serious requiring consideration,5
graze,touch or scrape lightly in passing,2
gregarious,living in societies liking the company,11
grievous,causing grief or pain serious dire grave,2
grovel,crawl humble oneself,2
guile,deceit cunning,7
gullible,easily gulled,2
gush,burst out suddenly/talk ardently,2
gust,outburst of feeling sudden rain wind fire etc.,2
hack,cut roughly hired horse,2
halcyon,calm and peaceful,6
hallow,to make holy consecrate,2
harangue,a long passionate speech,2
harbinger,smth or smb that foretells the coming of,2
harrow,to distress create stress or torment,2
haughty,arrogant conceited,15
heed,attention/give notice to,2
heinous,odious (of crime),4
heresy,belief contrary to what is generally accepted,2
hermetic,sealed by fusion,2
heterogeneous,made up of different kinds,2
hew,make by hard work cut (by striking),2
highbrow,(person) with superior tastes,3
hirsute,hairy shaggy,4
hoax,mischievous trick played on smb for a joke,4
hoi,polloi the masses the rabble,2
hollow,not soled with hole,2
holster,leather case for a pistol,2
homiletics,act of preaching,2
hone,stone used for sharpening tools,3
hoodwink,trick mislead,2
hospitable,liking to give hospitality,2
hubris,arrogant pride,3
hush,make or become silent,2
husk,worthless outside part of anything,3
hypocrisy,falsely making oneself appear to be good,2
iconoclast,person who attacks popular beliefs,2
idiosyncrasy,personal mannerism,2
idolatry,excessive admiration of,2
idyll,a carefree episode or experience,2
ignoble,dishonorable common undignified,3
ignominious,shameful dishonorable undignified disgraceful,3
illicit,unlawful forbidden,2
imbroglio,complicated and embarrassing situation,2
immaculate,pure faultless,2
imminent,likely to come or happen soon,8
immutable,that cannot be changed,7
impair,worsen diminish in value,2
impassive,unmoved feeling no sign of passion,4
impecunious,having little or no money,4
impede,hinder get in the way of,4
impediment,smth that hinders (e.g. stammer),3
impending,imminent being about to happen expected,9
imperative,urgent essential,6
imperious,commanding haughty arrogant,6
impermeable,that cannot be permeated,3
imperturbable,calm not capable of being excited,3
impervious,not allowing to pass through (of materials),2
imperviousness,haughty arrogant commanding,2
impetuous,having sudden energy impulsive thrusting ahead forceful,2
impiety,lack of reverence or dutifulness,2
implacable,incapable of being placated unpleasable,2
implicate,show that smb has a share,2
implicit,implied though not plainly expressed,9
implosion,collapse bursting inward,2
importune,beg urgently solicit (of a prostitute),2
imprecation,an invocation of evil a curse,3
impromptu,without preparation,2
impudent,rash indiscreet,6
impugned,challenged to be doubted,5
impute,to attribute to a cause or source ascribe,3
inadvertent,not paying proper attention,4
inane,silly senseless,2
inasmuch,since because,2
incense,make angry,2
incessant,often repeated continual,2
inchoate,not yet fully formed rudimentary elementary,4
incipient,beginning,4
incise,engrave make a cut in,2
incite,stir up rouse,4
inclined,directing the mind in a certain direction,11
incongruous,out of place not in harmony or agreement,5
incorrigibility,cannot be cured or corrected,2
incredulous,skeptical unwilling to believe,3
inculcate,fix firmly by repetition,2
incumbents,official duties,3
incursion,a raid a sudden attack,2
indefatigability,not easily exhaustible tirelessness,2
indelible,that cannot be rubbed out,2
indigence,poverty,2
indigenous,native,3
indistinct,not easily heard seen clearly marked,6
indolence,laziness,2
indomitable,not easily discouraged or subdued,2
indulge,gratify give way to satisfy allow oneself,4
indulgent,inclined to indulge,2
ineffable,to great to be described in words,3
ineluctable,certain inevitable,3
inept,unskillful said or done at the wrong time,4
ineptitude,quality of being unskillful,2
inferno,hell,2
infuriate,fill with fury or rage,2
infuse,put pour fill,2
ingenuous,naive young artless frank honest sincere,10
ingest,take in by swallowing,4
inimical,harmful or friendly,6
inimitable,defying imitation unmatchable,2
innocuous,causing no harm,9
inscrutable,incapable of being discovered or understood,5
insensible,unconscious unresponsive unaffected,3
insinuate,suggest unpleasantly make a way for smth gently,2
insipid,without taste or flavor,8
insouciant,unconcerned carefree,2
insularity,narrow-mindedness isolated,2
insurrection,rising of people to open resistance to,2
interdict,prohibit forbid,2
interim,as an installment,2
intersperse,place here and there,2
intransigence,unwillingness to compromise stubbornness intractability,2
intransigent,uncompromising,2
intrepid,fearless brave undaunted,2
introspection,examining one's own thoughts and feelings,3
inundate,flood cover by overflowing,2
inured,accustomed to adapted,2
invective,abusive language curses,4
inveigh,to attack verbally denounce deprecate,2
inveterate,deep-rooted. long-established,4
invincible,too strong to be defeated,2
involute,complex,2
irascible,irritable easily angered,2
irate,angry,2
ire,anger,2
irksome,tiresome,2
irresolute,hesitating undecided,9
irrevocable,final and unalterable,2
itinerate,to travel from place to place to peregrinate,2
jabber,talk excitedly utter rapidly,2
jibe,gibe make fun of,2
jocular,meant as a joke,4
judicious,sound in judgment wise,7
knit,draw together unite firmly,5
labyrinthine,to entangle the state of affairs,8
lachrymose,causing tears tearful,4
lackluster,(of eyes) dull,3
lament,show feel great sorrow,4
lassitude,weariness tiredness,3
latent,present but not yet active developed or visible,2
laudatory,expressing or giving praise,6
lavish,giving or producing freely liberally or generously,6
legacy,smth handed down from ancestors,2
levee,formal reception/embankment,2
levity,lack of seriousness,2
libel,statement that damages reputation,2
liberality,free giving generosity,2
libertine,immoral person,4
lien,legal claim until a debt on it is repaid,2
limn,paint portray,2
limp,lacking strength walking unevenly,2
lionize,treat as a famous person,2
lithe,bending twisting,2
loll,rest to sit or stand in a lazy way hang (dog's tongue),2
lope,move along with long strides,2
loquacious,talkative garrulous,8
lucubrate,write in scholarly fashion,2
luculent,easily understood lucid clear,2
lugubrious,mournful excessively sad,2
lull,become quiet or less active,2
lumber,move in a clumsy/noisy way,2
luminary,star light-giving body,3
lurk,be out of view ready to attack,2
lustrous,being bright polished,2
macabre,gruesome suggesting death,2
macerate,make or become soft by soaking in water,2
machination,plot scheme (esp. evil),2
maladroit,tactless clumsy,5
malapropism,misuse of a word (for one that resembles it),2
malevolence,wishing to do evil,3
malign,injurious speak ill of smb tell lie,2
malinger,to fake illness or injury in order to shirk a duty,2
malleable,yielding easily shaped moldable adapting,5
manacle,chains for the hands or feet,2
massacre,cruel killing of a large number of people,4
matriculation,be admitted enter a university as a student,2
maudlin,sentimental in a silly or tearful way,2
maul,hurt by rough handling,2
maverick,rebel nonconformist,3
mellifluous,sweetly flowing,2
mendacity,dishonesty,5
mendicant,a beggar,3
mercurial,quick changeable in character fleeting,2
meretricious,attractive on the surface but of little value,2
mesmerize,hypnotize,2
meticulous,giving great attention to details,13
mettle,quality of endurance or courage,4
mettlesome,courageous high-spirited,4
middling,fairly good but not very good,2
minatory,menacing threatening,2
mince,pronounce or speak affectedly euphemize,3
misanthrope,person who hates mankind,2
mischievous,harmful causing mischief,4
miser,person who loves wealth and spends little,3
misogynist,one who hates women/females,2
moderation,quality of being limited not extreme,6
mollify,make calmer or quieter,6
molt,moult lose hair feathers before new growing,2
morbid,diseased unhealthy (e.g.. about ideas),2
morose,ill-tempered unsocial,4
muffler,cloth worn round the neck/silencer,2
multifarious,varied motley greatly diversified,2
mundane,worldly as opposed to spiritual commonplace everyday,14
myriad,very great number,5
nadir,lowest weakest point,4
nascent,coming into existence emerging,12
nebulous,cloud-like hazy vague indistinct,3
negligent,taking too little care,2
neophyte,person who has been converted to a belief,2
nexus,a connection tie or link,3
nibble,show some inclination to accept (an offer),2
noisome,offensive disgusting (smell),5
nonchalant,not having interest,2
nonplused,greatly surprised,2
nostrum,a quack remedy an untested cure,2
noxious,harmful,6
nugatory,trifling/worthless,2
obdurate,hardened and unrepenting stubborn inflexible,2
obfuscate,to darken make obscure muddle,3
oblivious,unaware having no memory,6
obloquy,abusively detractive language sharp criticism vituperation,6
obsequious,too eager to obey or serve,7
obstreperous,noisy loud,3
obtain,to be established accepted or customary,14
obtrusive,projecting prominent undesirably noticeable,2
obtuse,blunt/stupid,9
obviate,to make unnecessary get rid of,2
occluded,blocked up,2
odious,repulsive hateful,7
odium,contempt dislike aversion,2
odor,smell favor reputation,13
officious,too eager or ready to help offer advice,3
ominous,threatening,4
onerous,needing effort burdensome,7
opaqueness,dullness/not allowing light to pass through,2
opprobrious,showing scorn or reproach,2
ossify,to turn to bone to settle rigidly into an idea,2
ostensible,seeming appearing as such professed,2
ostentation,display to obtain admiration or envy,2
ostracism,shut out from society refuse to meet talk,2
overhaul,examine thoroughly to learn about the condition,2
overweening,presumptuously arrogant overbearing immoderate being a jerk,2
paean,song of praise or triumph,2
palate,roof of the mouth sense of taste,2
palatial,magnificent,2
palliate,lessen the severity of,2
palpability,can be felt touched understood,2
palpitate,tremble beat rapidly and irregularly,2
panegyric,formal praise eulogy,13
paradigm,a model example or pattern,6
parenthesis,sentence within another one smth separated,5
pariah,an outcast a rejected and despised person,2
parsimonious,too economical miserly,3
partisan,one-sided committed to a party biased or prejudiced,4
patron,regular customer person who gives support,2
paucity,scarcity a lacking of,9
peccadillo,small sin small weakness in one's character,2
pedantic,bookish showing off learning,7
pedestrian,commonplace trite unremarkable,11
pellucid,transparent easy to understand,2
penchant,strong inclination a liking,4
penitent,feeling or showing regret,4
penurious,poor/stingy,4
penury,extreme poverty,2
peregrination,traveling about wandering,2
peremptory,urgent imperative unchallengeable ending debate,4
perfidious,treacherous faithless,8
perfidy,treachery breaking of faith,4
perfunctory,done as a duty without care,12
perilous,dangerous,7
peripatetic,wandering,2
perish,be destroyed decay,2
perjury,willful FALSE statement unlawful act,4
permeate,spread into every part of,5
pernicious,harmful injurious,6
perpetrate,be guilty commit (a crime),2
personable,pleasing in appearance attractive,2
perspicacity,quick judging and understanding,3
pertain,belong as a part have reference,4
pest,destructive thing or a person who is nuisance,3
petrified,taken away power (to think feel act),2
petrify,to make hard rocklike,2
petrous,like a rock hard stony,2
petulant,unreasonably impatient,5
philistine,a smug ignorant person one who lacks knowledge,2
phlegmatic,calm sluggish temperament unemotional,3
picaresque,involving clever rogues or adventurers,2
pied,of mixed colors,2
pinch,be too tight take between the thumb and finger,2
pine,waste away through sorrow or illness,2
pious,dutiful to parents devoted to religion,2
piquant,agreeably pungent stimulating,2
pique,hurt the pride or self-respect stir (curiosity),2
pitfall,covered hole as a trap unsuspected danger,2
pith,essential part force soft liquid substance,3
pivotal,of great importance (others depend on it),2
placate,soothe pacify calm,6
plaintive,mournful melancholy sorrowful,9
plaque,flat metal on a wall as a memorial,12
platitude,a trite or banal statement unoriginality,2
plea,request,2
plead,address a court of law as an advocate,4
plethora,glut,3
pliant,pliable easily bent shaped or twisted,2
plod,continue doing smth without resting,2
pluck,pull the feathers off pick (e.g.. flowers),4
plumb,get to the root of,2
plummet,fall plunge steeply,2
plunge,move quickly suddenly and with force,4
poignant,deeply moving keen,2
poncho,large piece of cloth,2
ponderous,heavy bulky dull,5
portent,omen marvelous threatening,2
precarious,uncertain risky dangerous,9
precepts,rules establishing standards of conduct,2
preclude,prevent make impossible,4
precursory,preliminary anticipating,2
predilection,special liking mental preference,3
predominate,have more power than others,2
preen,tidy/show self-satisfaction,2
premature,doing or happening smth before the right time,2
preponderance,greatness in number strength weight,2
presage,warning sign,2
presumption,arrogance,2
preternatural,not normal or usual,2
prevalent,common,6
prevaricate,to equivocate to stray from the truth,2
prim,neat formal,2
pristine,primitive unspoiled pure as in earlier times unadulterated,7
probity,uprightness incorruptibility principle,2
proclivity,inclination,2
procrastination,keeping on putting off,2
prodigal,wasteful reckless with money,6
prodigious,enormous wonderful,7
profane,worldly having contempt for God,2
profligacy,shameless immorality,4
profligate,wasteful prodigal licentious extravagant,7
profundity,depth,2
profuse,abundant/lavish,6
proliferate,grow reproduce by rapid multification,5
prolix,tiring because too long,4
prone,prostrate inclined to (undesirable things),7
propagation,increasing the number spreading extending,2
propinquity,nearness in time or place affinity of nature,2
propitiatory,conciliatory appeasing mitigating,4
propitious,auspicious presenting favorable circumstances,4
prosaic,everyday mundane commonplace trite pedestrian,3
proscribe,denounce as dangerous,2
protracted,prolonged,3
provident,frugal looking to the future,2
provisional,of the present time only,2
provoke,make angry vax,6
prudence,careful forethought,2
prudish,easily shocked excessively modest,2
prune,dried plum silly person,2
pry,get smth inquire too curiously,2
pucker,wrinkle,2
pugnacious,fond of in the habit of fighting,10
puissance,strength,2
punctilious,precise paying attention to trivialities,7
pundit,pedant authority on a subject,3
pungency,sharpness stinging quality,2
purvey,provide supply,2
pusillanimous,cowardly craven,5
putrefaction,becoming rotten,2
pyre,large pile of wood for burning,2
quack,person dishonestly claiming to smth,4
quaff,drink deeply,2
quail,lose courage turn frightened,2
qualm,feeling of doubt temporary feeling of sickness,2
quandary,state of doubt or perplexity,2
quell,suppress subdue,2
quibble,try to avoid by sophistication,2
quiescence,state of being passive/motionless,2
quiescent,at rest dormant torpid,6
quirk,habit or action peculiar to smb or smth,2
quixotic,generous unselfish,2
quotidian,banal everyday,6
